2024-06-16 11:34:23.763274: Error getting geo info for IP 104.18.3.161: HTTP 429
2024-06-16 11:34:31.726753: Error getting geo info for IP 202.160.128.205: HTTP 502
2024-06-16 11:55:50.164308: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.244594: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.325029: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.413333: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.501871: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.584095: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.657327: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.735668: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.822799: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.905160: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:50.991148: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:51.081117: Error getting geo info for IP 104.18.3.161: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:51.163938: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2024-06-16 11:55:51.240313: Error getting geo info for IP 198.27.124.186: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
